State,Visitors
AK,2
AK,1
AL,20
AL,5
AL,4
AL,3
AL,3
AL,3
AL,2
AL,2
AL,2
AL,2
AL,2
AL,1
AL,1
AL,1
AL,1
AL,1
AL,1
AL,1
AL,1
AL,1
AL,1
AL,1
AL,1
AL,1
AL,1
AL,1
AL,1
AL,1
AL,1
AL,1
AL,1
AL,1
AL,1
AL,1
AL,1
AL,1
AR,2
AR,2
AR,2
AR,2
AR,1
AR,1
AR,1
AR,1
AR,1
AR,1
AR,1
AR,1
AR,1
AR,1
AR,1
AR,1
AR,1
AR,1
AR,1
AR,1
AR,1
AR,1
AR,1
AZ,66
AZ,17
AZ,7
AZ,5
AZ,4
AZ,3
AZ,2
AZ,2
AZ,1
AZ,1
AZ,1
AZ,1
AZ,1
AZ,1
AZ,1
AZ,1
AZ,1
AZ,1
AZ,1
CA,290
CA,73
CA,69
CA,61
CA,50
CA,45
CA,45
CA,35
CA,34
CA,33
CA,30
CA,24
CA,18
CA,15
CA,13
CA,13
CA,13
CA,13
CA,12
CA,12
CA,11
CA,11
CA,11
CA,10
CA,9
CA,9
CA,9
CA,9
CA,8
CA,8
CA,8
CA,8
CA,7
CA,7
CA,7
CA,7
CA,6
CA,6
CA,6
CA,6
CA,6
CA,6
CA,6
CA,6
CA,6
CA,5
CA,5
CA,5
CA,5
CA,5
CA,5
CA,5
CA,4
CA,4
CA,4
CA,4
CA,4
CA,4
CA,4
CA,4
CA,4
CA,4
CA,4
CA,4
CA,4
CA,4
CA,4
CA,4
CA,3
CA,3
CA,3
CA,3
CA,3
CA,3
CA,3
CA,3
CA,3
CA,3
CA,3
CA,3
CA,3
CA,3
CA,3
CA,3
CA,3
CA,3
CA,3
CA,3
CA,3
CA,3
CA,3
CA,3
CA,3
CA,3
CA,3
CA,3
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,2
CA,1
CA,1
CA,1
CA,1
CA,1
CA,1
CA,1
