Country,Region,City,Page views,Site sessions,Unique visitors
US,CA,Los Angeles,669,337,290
US,IL,Chicago,376,130,98
US,NY,New York,220,94,81
US,TX,Houston,256,109,76
US,TX,Dallas,256,85,74
US,CA,Riverside,205,98,73
US,NY,Brooklyn,224,79,71
US,CA,Santa Ana,120,77,69
US,GA,Atlanta,209,75,67
US,AZ,Phoenix,235,103,66
US,NV,Las Vegas,166,77,62
US,CA,Irvine,368,155,61
US,CA,Anaheim,130,63,50
US,WA,Seattle,175,51,50
US,MI,Detroit,128,57,49
US,PA,Philadelphia,146,62,49
US,CA,San Jose,164,48,45
US,CA,Sacramento,151,53,45
US,FL,Miami,195,56,42
US,TX,San Antonio,136,53,40
US,NC,Charlotte,95,40,39
US,CA,San Francisco,91,43,35
US,CA,Garden Grove,172,62,34
US,MN,Minneapolis,151,40,34
US,OR,Portland,108,37,34
US,CA,San Diego,75,41,33
US,DC,Washington,80,36,33
US,IN,Indianapolis,92,41,31
US,MO,Kansas City,63,33,31
US,CA,Fontana,98,42,30
US,CO,Denver,121,34,29
US,FL,Tampa,75,32,29
US,MO,St Louis,80,32,28
US,TN,Nashville,154,48,28
US,FL,Orlando,85,31,27
US,KY,Louisville,82,38,27
US,NY,Queens,113,31,27
US,TX,Austin,95,30,26
US,CA,Oakland,105,32,24
US,OH,Columbus,54,25,23
US,LA,New Orleans,85,26,21
US,AL,Birmingham,57,21,20
US,NJ,Newark,47,23,20
US,PA,Pittsburgh,77,20,20
US,CA,Mission Viejo,31,21,18
US,OH,Cleveland,50,20,18
US,AZ,Tucson,55,20,17
US,FL,Jacksonville,32,18,17
US,NY,The Bronx,60,18,17
US,OK,Oklahoma City,59,20,17
US,UT,Salt Lake City,45,23,17
US,CA,Costa Mesa,60,20,15
US,TX,Fort Worth,58,20,15
US,NE,Omaha,52,18,14
US,NM,Albuquerque,37,14,14
US,OH,Cincinnati,47,18,14
US,TN,Memphis,53,28,14
US,CA,San Bernardino,23,16,13
US,CA,Ontario,33,21,13
US,CA,Long Beach,56,17,13
US,CA,Fremont,116,26,13
US,MA,Boston,45,15,13
US,VA,Tappahannock,13,13,13
US,WI,Milwaukee,54,13,13
US,CA,Sunnyvale,43,17,12
US,CA,Fresno,33,15,12
US,CA,Rialto,76,12,11
US,CA,Lake Forest,23,12,11
US,CA,Huntington Beach,27,14,11
US,HI,Honolulu,28,12,11
US,MD,Silver Spring,22,13,11
US,NC,Raleigh,52,15,11
US,NY,Rochester,42,15,11
US,TN,Knoxville,41,12,11
US,CA,Stockton,33,10,10
US,ID,Boise,53,18,10
US,LA,Baton Rouge,39,20,10
US,VA,Richmond,34,10,10
US,CA,Van Nuys,14,11,9
US,CA,Orange,29,11,9
US,CA,Corona,14,11,9
US,CA,Aliso Viejo,75,10,9
US,GA,Decatur,23,10,9
US,NY,Buffalo,24,10,9
US,CA,Pasadena,14,10,8
US,CA,Laguna Niguel,15,9,8
US,CA,Fullerton,37,9,8
US,CA,Bakersfield,33,10,8
US,MA,Worcester,16,8,8
US,OH,Dayton,36,10,8
US,SD,Sioux Falls,35,13,8
US,WI,Appleton,24,10,8
US,AZ,Scottsdale,33,10,7
US,CA,Pomona,15,9,7
US,CA,Newport Beach,11,8,7
US,CA,Moreno Valley,20,10,7
US,CA,Buena Park,19,7,7
US,CT,Hartford,21,7,7
US,GA,Stone Mountain,19,7,7
US,IN,Fort Wayne,21,7,7
US,MD,Hyattsville,27,7,7
US,MI,Sterling Heights,17,7,7
US,NJ,Jersey City,52,10,7
US,OK,Tulsa,36,7,7
US,RI,Providence,13,7,7
US,TX,Irving,19,7,7
US,TX,College Station,41,9,7
US,CA,Ventura,26,6,6
US,CA,Trabuco Canyon,17,6,6
US,CA,Santa Clara,28,11,6
US,CA,North Hollywood,15,6,6
US,CA,Fairfield,11,6,6
US,CA,Claremont,14,8,6
US,CA,Chino Hills,13,7,6
US,CA,Chino,17,9,6
US,CA,Bellflower,14,7,6
US,CO,Greeley,15,7,6
US,FL,Sarasota,26,8,6
US,GA,Marietta,28,8,6
US,GA,Cumming,13,7,6
US,GA,Alpharetta,25,7,6
US,KS,Wichita,38,8,6
US,MD,Baltimore,15,6,6
US,MN,Saint Paul,17,6,6
US,SC,Greenville,16,6,6
US,TX,Richardson,19,6,6
US,VA,Ashburn,22,6,6
US,VA,Alexandria,13,7,6
US,AL,Hoover,26,5,5
US,AZ,Gilbert,18,6,5
US,CA,Whittier,12,7,5
US,CA,Rosemead,12,5,5
US,CA,Modesto,15,13,5
US,CA,Hayward,45,11,5
US,CA,Greenfield,131,25,5
US,CA,Elk Grove,16,7,5
US,CA,Chula Vista,10,5,5
US,CT,Bridgeport,6,5,5
US,FL,Hollywood,21,9,5
US,FL,Hialeah,26,5,5
US,FL,Cocoa,9,6,5
US,GA,Columbus,15,7,5
US,GA,Buford,12,7,5
US,IL,Palatine,15,6,5
US,LA,Lafayette,13,5,5
US,MA,Watertown,22,5,5
US,MA,Springfield,16,6,5
US,NC,Sanford,24,9,5
US,NC,Cary,27,9,5
US,NE,Lincoln,14,5,5
US,NH,Barrington,30,9,5
US,NJ,Kearny,14,6,5
US,OH,Toledo,16,7,5
US,OH,Reynoldsburg,20,5,5
US,OH,Akron,35,5,5
US,OR,Beaverton,9,6,5
US,PA,Harrisburg,11,7,5
US,TX,Frisco,23,5,5
US,TX,El Paso,12,6,5
US,AL,Mobile,5,4,4
US,AZ,Mesa,12,4,4
US,CA,Wilmington,19,9,4
US,CA,Wildomar,5,4,4
US,CA,Tustin,4,4,4
US,CA,Santa Clarita,14,4,4
US,CA,Salinas,11,5,4
US,CA,Redondo Beach,65,24,4
US,CA,Porterville,19,8,4
US,CA,Perris,18,12,4
US,CA,Pacoima,6,5,4
US,CA,Montebello,7,4,4
US,CA,Mira Loma,4,4,4
US,CA,Laguna Beach,11,6,4
US,CA,Fountain Valley,6,4,4
US,CA,Encino,12,5,4
US,CA,Corona del Mar,11,7,4
US,CA,Bloomington,6,4,4
US,CT,New Haven,7,6,4
US,CT,Derby,29,5,4
US,FL,St. Petersburg,15,9,4
US,FL,Pompano Beach,4,4,4
US,FL,Ocala,16,5,4
US,FL,Naples,11,6,4
US,FL,Lutz,5,4,4
US,FL,Lehigh Acres,4,4,4
US,GA,Loganville,5,4,4
US,GA,Lawrenceville,10,6,4
US,GA,Jonesboro,13,5,4
US,ID,Lewiston,5,5,4
US,IN,Evansville,19,4,4
US,IN,Columbus,10,4,4
US,IN,Carmel,6,4,4
US,KS,Overland Park,7,4,4
US,KS,Kansas City,26,6,4
US,KY,Vine Grove,12,5,4
US,MA,Medford,8,4,4
US,MA,Malden,6,5,4
US,MD,Gaithersburg,9,6,4
US,MI,Roseville,25,13,4
US,MI,Grand Rapids,10,5,4
US,NC,Garner,14,5,4
US,NC,Fayetteville,12,4,4
US,NC,Durham,30,7,4
US,NC,Clayton,5,5,4
US,NJ,Union City,20,5,4
US,NJ,Trenton,10,4,4
