provider_id,holding_company,technology_code,technology_code_desc,location_count_res,unit_count_res,location_count_bus,unit_count_bus
130002,"3 Rivers Telephone Cooperative, Inc.",10,Copper,4903,6876,4903,6876
130002,"3 Rivers Telephone Cooperative, Inc.",50,Fiber to the Premises,18725,27057,18725,27057
130008,Ace Telephone Association,10,Copper,32292,40076,32292,40076
130008,Ace Telephone Association,50,Fiber to the Premises,24016,31227,24016,31227
130008,Ace Telephone Association,70,Unlicensed Fixed Wireless,5991,7062,5991,7062
130008,Ace Telephone Association,72,LBR Fixed Wireless,2196,2619,2196,2619
130011,"Adak Eagle Enterprises, LLC",50,Fiber to the Premises,216,216,122,122
130012,Adams Telephone Co-Operative,50,Fiber to the Premises,30905,38905,30905,38905
130017,Agate Mutual Telephone Cooperative Association,10,Copper,86,107,86,107
130017,Agate Mutual Telephone Cooperative Association,50,Fiber to the Premises,87,102,87,102
130018,"Agri-Valley Communications, Inc.",10,Copper,5863,6485,5863,6485
130018,"Agri-Valley Communications, Inc.",50,Fiber to the Premises,726,879,726,879
130019,"Air Advantage, LLC",70,Unlicensed Fixed Wireless,684,723,553,589
130029,"Alaska Power & Telephone, Inc.",10,Copper,3935,4745,1226,1280
130029,"Alaska Power & Telephone, Inc.",50,Fiber to the Premises,1589,2014,558,636
130029,"Alaska Power & Telephone, Inc.",70,Unlicensed Fixed Wireless,38,38,13,13
130030,"AlaWeb, Inc.",50,Fiber to the Premises,15468,17082,15468,17082
130031,Albany Mutual Telephone Association,10,Copper,54,85,54,85
130031,Albany Mutual Telephone Association,50,Fiber to the Premises,4174,4717,4174,4717
130032,"Albion Telephone Company, Inc.",10,Copper,1660,1798,1660,1798
130032,"Albion Telephone Company, Inc.",50,Fiber to the Premises,5078,5416,6422,9990
130032,"Albion Telephone Company, Inc.",70,Unlicensed Fixed Wireless,1187,1263,1187,1263
130034,"Alenco Communications, Inc.",10,Copper,10,14,10,14
130034,"Alenco Communications, Inc.",50,Fiber to the Premises,16274,19334,16274,19334
130034,"Alenco Communications, Inc.",70,Unlicensed Fixed Wireless,52586,61517,52586,61517
130034,"Alenco Communications, Inc.",71,Licensed Fixed Wireless,2277,2739,2277,2739
130035,Algona Municipal Utilities,40,Cable,2055,2380,160,180
130035,Algona Municipal Utilities,50,Fiber to the Premises,553,654,237,340
130036,"Alhambra-Grantfork Communications, Inc.",40,Cable,372,393,372,393
130036,"Alhambra-Grantfork Communications, Inc.",50,Fiber to the Premises,2773,2904,2773,2904
130037,"All West Communications, Inc.",10,Copper,6936,7265,1112,1426
130037,"All West Communications, Inc.",40,Cable,18571,23810,2121,4791
130037,"All West Communications, Inc.",50,Fiber to the Premises,9817,12195,2379,4532
130037,"All West Communications, Inc.",70,Unlicensed Fixed Wireless,64,65,10,11
130039,"Allen's TV Cable Service, Inc.",40,Cable,20319,24506,20319,24506
130039,"Allen's TV Cable Service, Inc.",50,Fiber to the Premises,5121,5837,5121,5837
